Applicant,Edu_Parent1,Edu_Parent2,Gender,White,Asian,HSGPA,SAT/ACT,College,Admitted,Enrolled,College_GPA
1,4,4,M,0,1,4.08,1460,Business & Economics,Yes,No,
2,3,3,F,0,0,3.59,1180,Math & Science,No,No,
3,7,7,M,1,0,4.25,1340,Arts & Letters,Yes,No,
4,6,6,M,0,1,3.00,1190,Business & Economics,No,No,
5,6,7,F,1,0,3.90,1290,Business & Economics,No,No,
6,1,2,F,0,0,3.36,1090,Arts & Letters,No,No,
7,6,6,M,1,0,4.26,1430,Math & Science,Yes,Yes,3.956
8,7,6,F,1,0,4.32,1240,Math & Science,Yes,No,
9,7,6,F,1,0,3.41,1230,Arts & Letters,No,No,
10,6,6,M,0,1,3.75,1510,Arts & Letters,Yes,No,
11,7,7,M,1,0,2.62,1330,Arts & Letters,No,No,
12,7,7,M,1,0,2.46,1170,Arts & Letters,No,No,
13,4,6,F,1,0,3.83,1210,Business & Economics,No,No,
14,6,6,M,0,0,3.88,1340,Business & Economics,Yes,No,
15,7,6,M,1,0,3.21,1190,Math & Science,No,No,
16,7,7,M,1,0,3.62,1460,Business & Economics,Yes,No,
17,7,7,M,0,0,3.72,1270,Arts & Letters,No,No,
18,7,7,M,1,0,4.12,1460,Math & Science,Yes,No,
19,6,6,F,0,0,3.11,930,Arts & Letters,No,No,
20,1,1,M,0,0,3.11,880,Math & Science,No,No,
21,7,6,M,1,0,4.25,1560,Business & Economics,Yes,No,
22,7,7,M,1,0,3.23,1510,Math & Science,No,No,
23,3,3,M,0,0,3.67,1430,Math & Science,Yes,No,
24,6,6,M,1,0,3.52,1450,Math & Science,Yes,No,
25,4,7,M,0,0,3.60,1040,Arts & Letters,No,No,
26,5,5,F,1,0,3.88,1220,Arts & Letters,No,No,
27,6,7,F,0,1,4.05,1360,Arts & Letters,Yes,No,
28,6,7,M,1,0,4.06,1220,Business & Economics,No,No,
29,7,6,M,1,0,3.95,1340,Math & Science,Yes,Yes,3.361
30,7,6,F,0,1,3.96,1340,Math & Science,Yes,No,
31,4,7,M,1,0,3.20,1480,Arts & Letters,No,No,
